variable_id,name,kind,unit,data_type,spatial_scale,temporal_scale,requirement,default,constraints,equation,module,method_origin,evidence_class,source_id,source_locator,status,notes
config.scenario_id,Scenario identifier,input,1,string,scenario,scenario,required,,>=0,,farm_data,Project design,configuration,,,provisional,
config.reporting_year,Reporting year,input,year,integer,farm,annual,required,,>=0,,farm_data,Project design,configuration,,,provisional,
config.gwp_assessment,GWP assessment and horizon,input,1,string,project,project,required,,>=0,,accounting,IPCC,configuration,,,provisional,
farm.area,Farm managed area,input,ha,float,farm,annual,required,,>=0,,farm_data,CAP2ER,survey,,,provisional,
field.area,Field area,input,ha,float,field,annual,required,,>=0,,farm_data,Project design,survey,,,provisional,
field.land_use,Land-use class,input,1,category,field,annual,required,,>=0,,farm_data,Florida QRF; VT0014,survey,,,provisional,
herd.cohort_head,Mean animals in cohort,input,head,float,herd_cohort,annual,required,,>=0,,herd,GLEAM X,survey,,,provisional,
herd.live_weight,Mean live weight,input,kg/head,float,herd_cohort,annual,required,,>=0,,herd,GLEAM X,survey,,,provisional,
herd.milk_production,Milk production,input,kg/year,float,herd_cohort,annual,conditional,,>=0,,production,GLEAM X,survey,,,provisional,
feed.dry_matter_intake,Dry matter intake,derived,kg DM/head/day,float,herd_cohort,daily,conditional,,>=0,sum(ingredient dry matter intake),feed,GLEAM X,calculated,,,provisional,
feed.gross_energy_intake,Gross energy intake,derived,MJ/head/day,float,herd_cohort,daily,conditional,,>=0,sum(DMI_i * gross_energy_i),feed,GLEAM X,calculated,,,provisional,
livestock.enteric_ch4,Enteric methane,output,kg CH4/year,float,herd_cohort,annual,conditional,,>=0,GLEAM calculation pending verified transcription,livestock,GLEAM X,model_output,,,provisional,
livestock.n_excreted,Nitrogen excreted,derived,kg N/year,float,herd_cohort,annual,conditional,,>=0,N intake - N retained,livestock,GLEAM X,calculated,,,provisional,
livestock.volatile_solids,Volatile solids excreted,derived,kg VS/year,float,herd_cohort,annual,conditional,,>=0,GLEAM calculation pending verified transcription,livestock,GLEAM X,calculated,,,provisional,
crop.yield_dm,Harvested crop dry matter,input,kg DM/ha/year,float,field,annual,conditional,,>=0,,crop,Project data,survey,,,provisional,
crop.residue_produced_c,Residue carbon produced,derived,kg C/ha/year,float,field,annual,conditional,,>=0,yield DM * residue ratio * carbon fraction,crop,RothC inputs,calculated,,,provisional,
crop.residue_retained_c,Residue carbon retained,derived,kg C/ha/year,float,field,annual,conditional,,>=0,produced - feed - fuel - exported - burned,crop,RothC inputs,calculated,,,provisional,
soil.synthetic_n_applied,Synthetic nitrogen applied,input,kg N/ha/year,float,field,annual,conditional,,>=0,,soil_ghg,CAP2ER; VM0042,survey,,,provisional,
soil.direct_n2o,Direct soil nitrous oxide,output,kg N2O/year,float,field,annual,conditional,,>=0,method-specific N input calculation,soil_ghg,CAP2ER; VM0042,model_output,,,provisional,
soc.concentration,SOC concentration,input,g C/kg soil,float,sample_layer,sampling_event,required,,>=0,,soc_data,VT0014; Florida QRF,laboratory_measurement,,,provisional,
soc.bulk_density,Dry bulk density,input,g/cm3,float,sample_layer,sampling_event,conditional,,>=0,,soc_data,VT0014,laboratory_measurement,,,provisional,
soc.depth_top,Layer top depth,input,cm,float,sample_layer,sampling_event,required,,>=0,,soc_data,VT0014,field_measurement,,,provisional,
soc.depth_bottom,Layer bottom depth,input,cm,float,sample_layer,sampling_event,required,,>=0,,soc_data,VT0014,field_measurement,,,provisional,
soc.coarse_fragment_fraction,Coarse fragment fraction,input,1,float,sample_layer,sampling_event,conditional,,>=0,,soc_data,VT0014,field_measurement,,,provisional,
soc.stock,SOC stock at fixed depth,derived,t C/ha,float,sample_layer,sampling_event,conditional,,>=0,concentration * bulk density * thickness * (1-coarse fraction) * 0.1,soc_data,VT0014,calculated,,,provisional,
manure.c_excreted,Carbon excreted,derived,kg C/year,float,farm,annual,conditional,,>=0,flow-ledger allocation,manure,GLEAM X; Project design,calculated,,,provisional,
manure.n_received,Nitrogen received,derived,kg N/year,float,farm,annual,conditional,,>=0,flow-ledger allocation,manure,GLEAM X; Project design,calculated,,,provisional,
manure.c_grazing,Carbon deposited grazing,derived,kg C/year,float,farm,annual,conditional,,>=0,flow-ledger allocation,manure,GLEAM X; Project design,calculated,,,provisional,
manure.c_storage,Carbon to storage,derived,kg C/year,float,farm,annual,conditional,,>=0,flow-ledger allocation,manure,GLEAM X; Project design,calculated,,,provisional,
manure.c_digestor,Carbon to biodigester,derived,kg C/year,float,farm,annual,conditional,,>=0,flow-ledger allocation,manure,GLEAM X; Project design,calculated,,,provisional,
manure.c_exported,Carbon exported,derived,kg C/year,float,farm,annual,conditional,,>=0,flow-ledger allocation,manure,GLEAM X; Project design,calculated,,,provisional,
manure.c_land_applied,Carbon land applied,derived,kg C/year,float,farm,annual,conditional,,>=0,flow-ledger allocation,manure,GLEAM X; Project design,calculated,,,provisional,
manure.n_land_applied,Nitrogen land applied,derived,kg N/year,float,farm,annual,conditional,,>=0,flow-ledger allocation,manure,GLEAM X; Project design,calculated,,,provisional,
manure.c_balance_error,Manure carbon balance error,output,kg C/year,float,farm,annual,conditional,0,absolute value <= tolerance,C inputs - C outputs - C stock change,manure,Project design,calculated,,,provisional,Must pass before reporting
manure.ch4,Manure methane,output,kg CH4/year,float,farm,annual,conditional,,>=0,sum(pathway emissions),manure,GLEAM X,model_output,,,provisional,
manure.n2o_direct,Direct manure nitrous oxide,output,kg N2O/year,float,farm,annual,conditional,,>=0,sum(pathway emissions),manure,GLEAM X,model_output,,,provisional,
rothc.temperature,Temperature,input,degC,float,field,monthly,conditional,,>=0,,rothc,RothC,remote_sensing,rothc_py,,provisional,
rothc.rainfall,Rainfall,input,mm/month,float,field,monthly,conditional,,>=0,,rothc,RothC,remote_sensing,rothc_py,,provisional,
rothc.open_pan_evaporation,Open-pan evaporation,input,mm/month,float,field,monthly,conditional,,>=0,,rothc,RothC,remote_sensing,rothc_py,,provisional,
rothc.clay,Clay content,input,percent,float,field,monthly,conditional,,>=0,,rothc,RothC,mapped_covariate,rothc_py,,provisional,
rothc.plant_c_input,Plant carbon input,input,t C/ha/month,float,field,monthly,conditional,,>=0,,rothc,RothC,calculated,rothc_py,,provisional,
rothc.fym_c_input,Farmyard manure C input,input,t C/ha/month,float,field,monthly,conditional,,>=0,,rothc,RothC,calculated,rothc_py,,provisional,
rothc.dpm_c,RothC DPM carbon pool,state,t C/ha,float,field,monthly,conditional,,>=0,monthly RothC transition,rothc,RothC,model_output,rothc_py,,provisional,
rothc.rpm_c,RothC RPM carbon pool,state,t C/ha,float,field,monthly,conditional,,>=0,monthly RothC transition,rothc,RothC,model_output,rothc_py,,provisional,
rothc.bio_c,RothC BIO carbon pool,state,t C/ha,float,field,monthly,conditional,,>=0,monthly RothC transition,rothc,RothC,model_output,rothc_py,,provisional,
rothc.hum_c,RothC HUM carbon pool,state,t C/ha,float,field,monthly,conditional,,>=0,monthly RothC transition,rothc,RothC,model_output,rothc_py,,provisional,
rothc.iom_c,RothC IOM carbon pool,state,t C/ha,float,field,monthly,conditional,,>=0,monthly RothC transition,rothc,RothC,model_output,rothc_py,,provisional,
rothc.total_soc,RothC total SOC,output,t C/ha,float,field,monthly,conditional,,>=0,DPM + RPM + BIO + HUM + IOM,rothc,RothC,model_output,rothc_py,,provisional,
qrf.correlation_distance_threshold,Correlation distance threshold,parameter,1,float,model,model_run,optional,0.2,>=0,1 - abs(Pearson correlation),soc_features,Florida QRF,model_parameter,florida_qrf,,provisional,
qrf.vif_threshold,VIF threshold,parameter,1,float,model,model_run,optional,10,>=0,,soc_features,Florida QRF,model_parameter,florida_qrf,,provisional,
qrf.spatial_group,Spatial validation group,derived,1,string,sample,model_run,conditional,,>=0,block assignment from validated range,soc_validation,Florida QRF,calculated,,,provisional,
qrf.prediction_q5,QRF SOC stock Q5,output,t C/ha,float,pixel,prediction_date,conditional,,>=0,QRF quantile 0.05,soc_qrf,Florida QRF; VT0014,model_output,,,provisional,
qrf.prediction_q50,QRF SOC stock Q50,output,t C/ha,float,pixel,prediction_date,conditional,,>=0,QRF quantile 0.5,soc_qrf,Florida QRF; VT0014,model_output,,,provisional,
qrf.prediction_q95,QRF SOC stock Q95,output,t C/ha,float,pixel,prediction_date,conditional,,>=0,QRF quantile 0.95,soc_qrf,Florida QRF; VT0014,model_output,,,provisional,
qrf.prediction_mean,QRF expected SOC stock,output,t C/ha,float,pixel,prediction_date,conditional,,>=0,QRF mean prediction,soc_qrf,Florida QRF; VT0014,model_output,,,provisional,
qrf.interval_width_90,QRF 90 percent interval width,derived,t C/ha,float,pixel,prediction_date,conditional,,>=0,Q95 - Q5,soc_uncertainty,Florida QRF; VT0014,calculated,,,provisional,
qrf.coverage_90,Empirical interval coverage,output,percent,float,validation_fold,model_run,conditional,,>=0,100 * mean(observed between Q5 and Q95),validation,Florida QRF; VT0014,calculated,,,provisional,
qrf.rmse,Root mean squared error,output,t C/ha,float,validation_fold,model_run,conditional,,>=0,sqrt(mean((observed-predicted)^2)),validation,Florida QRF,calculated,,,provisional,
qrf.applicability_flag,Applicability flag,output,1,string,pixel,prediction_date,conditional,,>=0,covariate/domain assessment,soc_mapping,VT0014,model_output,,,provisional,
tree.aboveground_c,Aboveground tree carbon,state,t C,float,field,annual,conditional,,>=0,allometry-specific calculation,agroforestry,Project method,model_output,,,provisional,
tree.belowground_c,Belowground tree carbon,state,t C,float,field,annual,conditional,,>=0,allometry-specific calculation,agroforestry,Project method,model_output,,,provisional,
energy.fossil_co2e,Fossil energy emissions,output,kg CO2e/year,float,farm,annual,conditional,,>=0,sum(activity * factor),energy,CAP2ER,model_output,,,provisional,
farm.gross_ghg,Gross farm GHG,output,kg CO2e/year,float,farm,annual,required,,>=0,sum(in-boundary source CO2e),reporting,CAP2ER,calculated,,,provisional,
farm.carbon_removals,Farm carbon removals,output,kg CO2e/year,float,farm,annual,conditional,0,>=0,eligible SOC + eligible woody removal,reporting,CAP2ER; CARBON AGRI,calculated,,,provisional,
farm.net_ghg,Net farm GHG balance,output,kg CO2e/year,float,farm,annual,required,,signed,gross GHG - removals,reporting,CAP2ER; CARBON AGRI,calculated,,,provisional,
product.carbon_intensity,Product carbon intensity,output,kg CO2e/functional unit,float,product,annual,conditional,,>=0,allocated net GHG / product output,allocation,CAP2ER; CARBON AGRI,calculated,,,provisional,Allocation and functional unit required
carbon_agri.adoption_fraction,Intervention adoption fraction,parameter,1,float,practice,annual,conditional,,0..1,implementation schedule,scenario,CARBON AGRI,configuration,,,provisional,
carbon_agri.annual_gain,Annual farm carbon gain,output,kg CO2e/year,float,farm,annual,conditional,,signed,baseline net GHG - intervention net GHG,carbon_agri,CARBON AGRI,accounting_rule,,,provisional,
carbon_agri.cumulative_gain,Cumulative project gain,output,kg CO2e,float,project,project,conditional,,signed,sum(eligible annual gains after deductions),carbon_agri,CARBON AGRI,accounting_rule,,,provisional,
cap2er.n_balance,Farm nitrogen balance,output,kg N/year,float,farm,annual,conditional,,signed,N inputs - N outputs,cap2er,CAP2ER,accounting_rule,,,provisional,
cap2er.n_efficiency,Farm nitrogen efficiency,output,percent,float,farm,annual,conditional,,>=0,100 * N outputs / N inputs,cap2er,CAP2ER,accounting_rule,,,provisional,
verra.eligible_net_reduction,Eligible net reduction,output,kg CO2e/year,float,project,annual,conditional,,>=0,configured methodology accounting only,verra,VM0042; VMD0053; VT0014,accounting_rule,,,provisional,Must not alias scientific net GHG
